Date,Open,High,Low,Close,Adj Close,Volume
2015-09-01,92.290001,96.190002,89.900002,93.349998,74.693092,202039800
2015-10-01,93.430000,102.120003,91.760002,101.029999,80.838158,191690900
2015-11-01,101.180000,103.000000,99.739998,101.239998,81.006172,126172600
2015-12-01,101.730003,105.489998,100.309998,102.720001,82.796295,162039600
2016-01-01,101.709999,104.750000,94.279999,104.440002,84.182663,211278000
2016-02-01,103.610001,106.919998,99.779999,105.209999,84.803314,201552000
2016-03-01,105.900002,109.559998,105.440002,108.199997,87.845406,172970400
2016-04-01,108.000000,114.190002,107.690002,112.080002,90.995522,158186600
2016-05-01,112.220001,115.000000,111.699997,112.690002,91.490761,141096900
2016-06-01,112.690002,121.410004,112.070000,121.300003,99.184174,167571400
2016-07-01,121.300003,126.070000,120.790001,125.230003,102.397659,131996000
2016-08-01,125.309998,125.900002,118.330002,119.339996,97.581520,138570700
2016-09-01,119.190002,119.970001,117.040001,118.129997,97.236481,130378400
2016-10-01,118.000000,120.199997,112.989998,115.989998,95.475029,140054500
2016-11-01,114.760002,122.500000,111.300003,111.300003,91.614532,171310900
2016-12-01,111.360001,117.300003,109.320000,115.209999,95.488289,138044800
2017-01-01,115.779999,117.000000,110.760002,113.250000,93.863792,143312500
2017-02-01,112.480003,122.879997,112.470001,122.209999,101.290016,133814500
2017-03-01,122.489998,129.000000,122.389999,124.550003,103.912552,166544900
2017-04-01,124.730003,125.809998,120.949997,123.470001,103.011505,106205200
2017-05-01,123.400002,128.800003,122.339996,128.250000,106.999466,112541500
2017-06-01,128.320007,137.000000,128.119995,132.289993,111.101936,145558900
2017-07-01,132.789993,137.080002,129.570007,132.720001,111.463112,107885800
2017-08-01,133.169998,134.970001,130.899994,132.369995,111.169151,107061100
2017-09-01,132.600006,135.789993,129.050003,130.009995,109.881668,116205400
2017-10-01,130.160004,144.350006,130.020004,139.410004,117.826370,123841100
2017-11-01,139.830002,141.869995,136.600006,139.330002,117.758774,93742200
2017-12-01,139.570007,143.800003,138.600006,139.720001,118.811562,114023200
2018-01-01,139.660004,148.320007,138.100006,138.190002,117.510483,170954200
2018-02-01,137.529999,140.669998,122.150002,129.880005,110.444046,177033700
2018-03-01,129.110001,135.699997,124.900002,128.149994,109.670708,151837800
2018-04-01,127.820000,132.880005,123.540001,126.489998,108.250092,144094200
2018-05-01,126.320000,127.610001,118.620003,119.620003,102.370758,139533300
2018-06-01,120.379997,124.849998,119.970001,121.339996,104.612877,138683200
2018-07-01,121.339996,132.639999,120.110001,132.520004,114.251694,145735900
2018-08-01,132.389999,137.429993,128.929993,134.690002,116.122559,123996800
2018-09-01,134.690002,143.130005,133.440002,138.169998,119.916687,122168800
2018-10-01,138.259995,141.429993,132.229996,139.990005,121.496246,167964600
2018-11-01,140.070007,148.750000,139.000000,146.899994,127.493370,152746600
2018-12-01,145.570007,148.990005,121.000000,129.050003,112.714737,289169400
2019-01-01,128.130005,135.190002,125.000000,133.080002,116.234627,174392900
2019-02-01,134.020004,137.949997,131.259995,136.639999,119.344002,119453700
2019-03-01,137.220001,140.000000,135.740005,139.789993,122.905029,137354500
2019-04-01,139.990005,141.449997,134.419998,141.199997,124.144691,124329800
2019-05-01,140.949997,142.350006,128.520004,131.149994,115.308640,159034100
2019-06-01,131.500000,144.979996,131.039993,139.279999,123.294525,150883000
2019-07-01,140.199997,142.470001,127.839996,130.220001,115.274376,159847900
2019-08-01,130.259995,134.100006,126.629997,128.360001,113.627831,176400700
2019-09-01,127.989998,132.779999,126.339996,129.380005,115.388992,122925900
2019-10-01,130.020004,137.490005,126.099998,132.039993,117.761345,206654300
2019-11-01,132.050003,138.630005,129.679993,137.490005,122.621986,127753600
2019-12-01,137.720001,147.839996,136.160004,145.869995,130.997131,127761600
2020-01-01,145.869995,151.190002,141.380005,148.869995,133.691238,150462900
2020-02-01,149.419998,154.500000,130.820007,134.479996,120.768433,147288300
2020-03-01,134.779999,143.639999,109.160004,131.130005,118.510910,355927400
2020-04-01,127.699997,157.000000,125.500000,150.039993,135.601135,234380900
2020-05-01,149.619995,153.619995,143.009995,148.750000,134.435303,136206100
2020-06-01,147.289993,150.029999,137.020004,140.630005,127.977715,174066600
2020-07-01,140.690002,151.669998,140.059998,145.759995,132.646194,137880400
2020-08-01,146.389999,154.399994,145.820007,153.410004,139.607971,109956200
2020-09-01,153.869995,155.470001,142.960007,148.880005,136.387268,138799800
2020-10-01,149.309998,153.139999,133.649994,137.110001,125.604874,137284700
2020-11-01,138.979996,151.300003,137.490005,144.679993,132.539673,153635100
2020-12-01,146.289993,157.660004,145.860001,157.380005,145.175827,158925000
2021-01-01,157.240005,173.649994,154.130005,163.130005,150.479965,184488700
2021-02-01,165.309998,167.940002,157.970001,158.460007,146.172073,147681200
2021-03-01,161.449997,167.029999,151.470001,164.350006,152.550720,175073000
2021-04-01,162.600006,167.789993,156.529999,162.729996,151.046997,162648500
2021-05-01,163.600006,172.740005,163.119995,169.250000,157.098938,133901100
2021-06-01,170.149994,170.199997,161.789993,164.740005,153.866730,145670800
2021-07-01,164.740005,173.380005,164.630005,172.199997,160.834305,133724800
2021-08-01,172.470001,179.919998,171.300003,173.130005,161.702972,114788500
2021-09-01,172.899994,175.220001,161.410004,161.500000,151.736908,132028700
2021-10-01,161.529999,166.029999,157.339996,162.880005,153.033524,136327000
2021-11-01,163.160004,167.619995,155.850006,155.929993,146.503632,164263300
2021-12-01,156.880005,173.509995,156.250000,171.070007,161.781189,167972300
